Période,Label,Stratégie,Sharpe,Annualized Vol,Annualized Return,Total Return,Total Vol
2001-04-01 - 2001-11-01,Recession US 1: Avril 2001 - Novembre 2001,MomentumStrategy,1.75,0.21,0.37,0.202,0.17
2001-04-01 - 2001-11-01,Recession US 1: Avril 2001 - Novembre 2001,ValueStrategy,-0.51,0.09,-0.05,-0.027,0.07
2007-12-01 - 2009-06-01,Recession US 2: Décembre 2007 - Juin 2009,MomentumStrategy,-0.71,0.41,-0.29,-0.400,0.51
2007-12-01 - 2009-06-01,Recession US 2: Décembre 2007 - Juin 2009,ValueStrategy,0.13,0.11,0.02,0.023,0.14
2020-02-01 - 2020-04-01,Recession US 3: Février 2020 - Avril 2020,MomentumStrategy,3.68,0.31,1.14,0.128,0.13
2020-02-01 - 2020-04-01,Recession US 3: Février 2020 - Avril 2020,ValueStrategy,0.16,0.13,0.02,0.003,0.05
2001-11-01 - 2007-12-01,Expansion US 1: Novembre 2001 – Décembre 2007,MomentumStrategy,-0.26,0.17,-0.05,-0.242,0.43
2001-11-01 - 2007-12-01,Expansion US 1: Novembre 2001 – Décembre 2007,ValueStrategy,0.16,0.07,0.01,0.066,0.17
2012-02-01 - 2020-02-01,Expansion US 2: Juin 2009 – Février 2020,MomentumStrategy,0.26,0.15,0.04,0.362,0.43
2012-02-01 - 2020-02-01,Expansion US 2: Juin 2009 – Février 2020,ValueStrategy,-0.39,0.07,-0.03,-0.202,0.21
2020-04-01 - 2023-12-01,Expansion US 3: Avril 2020 – Décembre 2023,MomentumStrategy,-0.18,0.22,-0.04,-0.134,0.43
2020-04-01 - 2023-12-01,Expansion US 3: Avril 2020 – Décembre 2023,ValueStrategy,0.69,0.07,0.05,0.199,0.14
